attribute,mean,max,min
pubchem_f664,0.24693627450980393,1.0,0.0
ATSm1,34.80684448651963,254.960713,1.774469
pattern_c42,0.32659313725490197,1.0,0.0
alkenyl,0.32659313725490197,1.0,0.0
pattern_c41,0.32659313725490197,1.0,0.0
aliph_carboxylic,0.19975490196078433,1.0,0.0
maccs_322_259,0.27818627450980393,1.0,0.0
pubchem_f386,0.12254901960784313,1.0,0.0
maccs_k104,0.4479166666666667,1.0,0.0
ATSc1,0.7001100245098046,7.011197,0.0
pattern_c6,0.2647058823529412,1.0,0.0
pubchem_f353,0.8590686274509803,1.0,0.0
pubchem_f601,0.20036764705882354,1.0,0.0
pubchem_f679,0.7046568627450981,1.0,0.0
pubchem_f661,0.7046568627450981,1.0,0.0
pubchem_f336,0.3547794117647059,1.0,0.0
maccs_k066,0.43504901960784315,1.0,0.0
maccs_k053,0.24325980392156862,1.0,0.0
pubchem_f525,0.7132352941176471,1.0,0.0
maccs_322_013,0.23590686274509803,1.0,0.0
pubchem_f179,0.7524509803921569,1.0,0.0
pubchem_f435,0.7089460784313726,1.0,0.0
maccs_k155,0.8504901960784313,1.0,0.0
aliphatic_chain_4,0.8167892156862745,1.0,0.0
maccs_k163,0.7616421568627451,1.0,0.0
ring_of_size6,0.7616421568627451,1.0,0.0
pubchem_f629,0.2622549019607843,1.0,0.0
sat_carb_r6,0.23774509803921567,1.0,0.0
pattern_c69,0.39215686274509803,1.0,0.0
sugar_pattern_2,0.12683823529411764,1.0,0.0
ATSc4,0.05188348651960787,2.436468,-3.204807
pattern_c72,0.3866421568627451,1.0,0.0
pubchem_f666,0.21200980392156862,1.0,0.0
pubchem_f014,0.13419117647058823,1.0,0.0
maccs_k072,0.3174019607843137,1.0,0.0
pubchem_f286,0.5202205882352942,1.0,0.0
nitrogen_atom,0.5208333333333334,1.0,0.0
maccs_k161,0.5208333333333334,1.0,0.0
pubchem_f015,0.5208333333333334,1.0,0.0
pubchem_f682,0.24325980392156862,1.0,0.0
primary alcohol,0.15870098039215685,1.0,0.0
maccs_k113,0.26838235294117646,1.0,0.0
ATSc3,-0.06314871139705887,2.779294,-2.440778
pattern_c113,0.12009803921568628,1.0,0.0
pubchem_f590,0.18995098039215685,1.0,0.0
pubchem_f627,0.18995098039215685,1.0,0.0
maccs_322_257,0.5814950980392157,1.0,0.0
pubchem_f566,0.19056372549019607,1.0,0.0
pubchem_f453,0.3860294117647059,1.0,0.0
heteroaromatic,0.25919117647058826,1.0,0.0
pubchem_f547,0.19424019607843138,1.0,0.0
pattern_c81,0.36703431372549017,1.0,0.0
pubchem_f712,0.2261029411764706,1.0,0.0
pattern_c83,0.3602941176470588,1.0,0.0
pattern_c79,0.3639705882352941,1.0,0.0
maccs_k156,0.5153186274509803,1.0,0.0
sugar_pattern_combi,0.11642156862745098,1.0,0.0
pattern_c80,0.3584558823529412,1.0,0.0
pattern_c67,0.4074754901960784,1.0,0.0
pubchem_f503,0.19852941176470587,1.0,0.0
pubchem_f352,0.5134803921568627,1.0,0.0
pattern_c39,0.5134803921568627,1.0,0.0
pubchem_f546,0.25245098039215685,1.0,0.0
pattern_c82,0.3492647058823529,1.0,0.0
pattern_c74,0.3700980392156863,1.0,0.0
pubchem_f638,0.7156862745098039,1.0,0.0
pubchem_f605,0.21446078431372548,1.0,0.0
ALogp2,17.821823409313676,803.830234,0.0
pubchem_f382,0.27267156862745096,1.0,0.0
pubchem_f287,0.8725490196078431,1.0,0.0
pubchem_f335,0.2267156862745098,1.0,0.0
pubchem_f641,0.7254901960784313,1.0,0.0
hexoside,0.09803921568627451,1.0,0.0
pubchem_f444,0.6439950980392157,1.0,0.0
pubchem_f377,0.2555147058823529,1.0,0.0
pubchem_f257,0.25306372549019607,1.0,0.0
alkylarylether,0.14705882352941177,1.0,0.0
pattern_c28,0.14705882352941177,1.0,0.0
maccs_k136,0.33578431372549017,1.0,0.0
pattern_c161,0.15808823529411764,1.0,0.0
pubchem_f378,0.1948529411764706,1.0,0.0
pubchem_f536,0.5888480392156863,1.0,0.0
pubchem_f557,0.7395833333333334,1.0,0.0
pubchem_f447,0.7395833333333334,1.0,0.0
pubchem_f491,0.7395833333333334,1.0,0.0
maccs_k108,0.48284313725490197,1.0,0.0
pubchem_f442,0.7781862745098039,1.0,0.0
pubchem_f450,0.2616421568627451,1.0,0.0
pubchem_f477,0.20220588235294118,1.0,0.0
pattern_c26,0.12622549019607843,1.0,0.0
pubchem_f003,0.6825980392156863,1.0,0.0
pubchem_f417,0.7800245098039216,1.0,0.0
pubchem_f568,0.2861519607843137,1.0,0.0
pattern_c37,0.53125,1.0,0.0
maccs_k159,0.7463235294117647,1.0,0.0
pubchem_f020,0.7463235294117647,1.0,0.0
_13-tautomerizable,0.6274509803921569,1.0,0.0
pattern_c38,0.6274509803921569,1.0,0.0
pubchem_f580,0.5404411764705882,1.0,0.0
sugar_pattern_2_alpha,0.08823529411764706,1.0,0.0
pattern_c115,0.12867647058823528,1.0,0.0
maccs_k050,0.2181372549019608,1.0,0.0
pubchem_f600,0.7144607843137255,1.0,0.0
pattern_c78,0.3247549019607843,1.0,0.0
pattern_c319,0.015931372549019607,1.0,0.0
pubchem_f348,0.12622549019607843,1.0,0.0
pattern_c70,0.32659313725490197,1.0,0.0
pubchem_f438,0.23774509803921567,1.0,0.0
pubchem_f662,0.15318627450980393,1.0,0.0
aliphatic_chain_13,0.14583333333333334,1.0,0.0
pubchem_f391,0.47671568627450983,1.0,0.0
pubchem_f681,0.678921568627451,1.0,0.0
pubchem_f383,0.23529411764705882,1.0,0.0
ATSc2,-0.31395003431372526,0.005913,-3.619953
pubchem_f840,0.11274509803921569,1.0,0.0
pubchem_f542,0.24816176470588236,1.0,0.0
pubchem_f543,0.22977941176470587,1.0,0.0
oxygen_atom,0.897671568627451,1.0,0.0
pubchem_f019,0.897671568627451,1.0,0.0
maccs_k164,0.897671568627451,1.0,0.0
pubchem_f607,0.24571078431372548,1.0,0.0
pubchem_f652,0.24571078431372548,1.0,0.0
pubchem_f564,0.15502450980392157,1.0,0.0
pubchem_f575,0.28125,1.0,0.0
maccs_322_043,0.8131127450980392,1.0,0.0
poly_sugar_1,0.07659313725490197,1.0,0.0
pubchem_f145,0.1323529411764706,1.0,0.0
maccs_k122,0.49080882352941174,1.0,0.0
pubchem_f549,0.28431372549019607,1.0,0.0
pubchem_f586,0.23100490196078433,1.0,0.0
pubchem_f658,0.23100490196078433,1.0,0.0
maccs_k148,0.5073529411764706,1.0,0.0
maccs_k026,0.08823529411764706,1.0,0.0
112_trisubstituted_alkene,0.16237745098039216,1.0,0.0
poly_sugar_2,0.07352941176470588,1.0,0.0
cn_single_bond,0.4791666666666667,1.0,0.0
maccs_k158,0.4791666666666667,1.0,0.0
pubchem_f663,0.25306372549019607,1.0,0.0
maccs_k107,0.12745098039215685,1.0,0.0
pattern_c106,0.22181372549019607,1.0,0.0
pubchem_f496,0.2340686274509804,1.0,0.0
pattern_c116,0.07107843137254902,1.0,0.0
organohalide,0.12867647058823528,1.0,0.0
pattern_c13,0.12867647058823528,1.0,0.0
sugar_pattern_2_beta,0.08394607843137254,1.0,0.0
pattern_c52,0.22426470588235295,1.0,0.0
pubchem_f685,0.5012254901960784,1.0,0.0
halide,0.12990196078431374,1.0,0.0
maccs_k134,0.12990196078431374,1.0,0.0
maccs_k147,0.6029411764705882,1.0,0.0
pubchem_f499,0.26286764705882354,1.0,0.0
